listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities,base_urls
https://www.airbnb.com/rooms/31699739?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=661643306&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486018_P3SvlItDHxwAvQpW&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Home in Mymensingh · ★4.50 · 3 bedrooms · 4 beds · 2 baths,,4 reviews,https://www.airbnb.com/rooms/31699739/reviews?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=661643306&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486018_P3SvlItDHxwAvQpW&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,https://www.airbnb.com/users/show/165101119,,,4.8,5.0,5.0,5.0,4.8,4.5,"https://maps.google.com/maps?ll=24.77814,90.36833&z=14&t=m&hl=en&gl=BD&mapclient=apiv3",[],https://www.airbnb.com/rooms/31699739
https://www.airbnb.com/rooms/940520727742642444?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486019_P3r6xLzKinFxRJRB&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Resort in Beltoli · 1 bedroom · 1 bed · 1 bath,,,,https://www.airbnb.com/users/show/45832328,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=24.69814,90.43341&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Lake view', 'Courtyard view', 'Garden view', 'Resort view', 'Sea view', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Drying rack for clothing', 'Mosquito net', 'Clothing storage', 'Sound system', 'Life size games', 'Children’s books and toys', ""Children's playroom"", 'Outdoor playground', 'AC - split type ductless system', 'Ceiling fan', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Hot water kettle', 'Dining table', 'Waterfront', 'Lake access', 'Private entrance', 'Resort access', 'Patio or balcony', 'Shared backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'Bikes', 'Sun loungers', 'Free parking on premises', 'Free street parking', 'Shared outdoor pool - available all year, open 24 hours', 'Luggage dropoff allowed', 'Breakfast', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Heating\nHeating']",https://www.airbnb.com/rooms/940520727742642444
https://www.airbnb.com/rooms/1046307793726993129?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1801267046&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486019_P3c_8klGP_XzmpKN&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Rental unit in Mymensingh · 1 bedroom · 1 bed · 1 bath,,,,https://www.airbnb.com/users/show/199048845,,Relax with the whole family at this peaceful place to stay.,,,,,,,"https://maps.google.com/maps?ll=24.7571,90.4012&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Washer', 'TV', 'Lock on bedroom door', 'Exterior security cameras on property', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Unavailable: Dryer\nDryer', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']",https://www.airbnb.com/rooms/1046307793726993129
https://www.airbnb.com/rooms/939792213264586127?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486019_P3Fcg8NvfpVIrWM9&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Resort in Mymensingh · 1 bedroom · 1 private bath,,,,https://www.airbnb.com/users/show/45832328,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=24.757807,90.394817&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Sea view', 'Courtyard view', 'Garden view', 'Lake view', 'Resort view', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Drying rack for clothing', 'Mosquito net', 'Clothing storage', 'Sound system', 'Books and reading material', 'Life size games', 'Children’s books and toys', ""Children's playroom"", 'Outdoor playground', 'AC - split type ductless system', 'Ceiling fan', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Hot water kettle', 'Dining table', 'Waterfront', 'Lake access', 'Private entrance', 'Resort access', 'Patio or balcony', 'Shared backyard – Fully fenced', 'Outdoor furniture', 'Hammock', 'Outdoor dining area', 'BBQ grill', 'Bikes', 'Sun loungers', 'Free parking on premises', 'Free street parking', 'Shared outdoor pool - available all year, open 24 hours', 'Luggage dropoff allowed', 'Breakfast', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']",https://www.airbnb.com/rooms/939792213264586127
https://www.airbnb.com/rooms/939792448900449118?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486019_P32di7nLDvQVAZtY&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Resort in Mymensingh · 1 bedroom · 1 private bath,,,,https://www.airbnb.com/users/show/45832328,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=24.757011,90.394424&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Sea view', 'Courtyard view', 'Garden view', 'Lake view', 'Resort view', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Drying rack for clothing', 'Mosquito net', 'Clothing storage', 'Sound system', 'Life size games', 'Children’s books and toys', ""Children's playroom"", 'Outdoor playground', 'Window AC unit', 'AC - split type ductless system', 'Ceiling fan', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Hot water kettle', 'Dining table', 'Waterfront', 'Lake access', 'Private entrance', 'Resort access', 'Patio or balcony', 'Shared backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'Bikes', 'Free parking on premises', 'Free street parking', 'Luggage dropoff allowed', 'Breakfast', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']",https://www.airbnb.com/rooms/939792448900449118
https://www.airbnb.com/rooms/31835593?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=677886391&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486019_P3DDj8pB3b6q-zfE&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Farm stay in Tangail District · 5 bedrooms · 5 beds · 6 baths,,,,https://www.airbnb.com/users/show/202073298,,,,,,,,,"https://maps.google.com/maps?ll=24.4932,90.2199&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hot water', 'Essentials', 'Hangers', 'Extra pillows and blankets', 'TV with standard cable', 'Fireplace guards', 'Air conditioning', 'Indoor fireplace', 'First aid kit', 'Wifi', 'Kitchen', 'Waterfront', 'Private entrance', 'Free parking on premises', 'Private living room', 'Pets allowed', 'Luggage dropoff allowed', 'Breakfast', 'Smoking allowed', 'Long term stays allowed', 'Unavailable: Lock on bedroom door\nLock on bedroom door', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']",https://www.airbnb.com/rooms/31835593
https://www.airbnb.com/rooms/41777583?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1091126580&search_mode=regular_search&check_in=2024-06-18&check_out=2024-06-23&source_impression_id=p3_1718486019_P3spRe4-hXngbiRu&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Earthen home in Muktagacha · 4 bedrooms · 6 beds · 2 shared baths,,,,https://www.airbnb.com/users/show/330079786,,,,,,,,,"https://maps.google.com/maps?ll=24.76389,90.25014&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Garden view', 'Bathtub', 'Herbal shampoo', 'Neem soap body soap', 'Hot water', 'Essentials', 'Hangers', 'Extra pillows and blankets', 'Ceiling fan', 'Portable fans', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Coffee maker', 'Free residential garage on premises – 2 spaces', 'Paid parking lot off premises', 'Private living room', 'Luggage dropoff allowed', 'Breakfast', 'Smoking allowed', 'Unavailable: Lock on bedroom door\nLock on bedroom door', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']",https://www.airbnb.com/rooms/41777583
https://www.airbnb.com/rooms/941751079586715123?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718486019_P3l5xVjj1KQ0Ys-C&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Home in Mymensingh Division · 3 bedrooms · 3.5 baths,,,,https://www.airbnb.com/users/show/525993865,,"Forget your worries in this spacious and serene space. This  place is perfect for creative  people  who enjoy meditation and consider them as select guests.
New ideas can grow  and can be discussed in this space for innovative
business ideas,  home away from home.",,,,,,,"https://maps.google.com/maps?ll=24.752948,90.406586&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Bidet', 'Washer', 'Dryer', 'Safe', 'Piano', 'Game console', 'Exercise equipment', 'Ping pong table', 'Pool table', 'Climbing wall', 'Arcade games', 'Movie theater', 'Bowling alley', 'Theme room', 'Life size games', 'Skate ramp', 'Mini golf', 'Laser tag', 'Batting cage', 'Children’s books and toys', 'Baby bath', 'Changing table', 'Baby monitor', 'Board games', ""Children's playroom"", 'Children’s bikes', 'Heating', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Baking sheet', 'Bread maker', 'Outdoor dining area', 'BBQ grill', 'Free parking on premises', 'Pool', 'Hot tub', 'Self check-in', 'Lockbox', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Window AC unit\nWindow AC unit', 'Unavailable: AC - split type ductless system\nAC - split type ductless system', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Hot water\nHot water']",https://www.airbnb.com/rooms/941751079586715123
https://www.airbnb.com/rooms/955623987767088895?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486019_P3gRUcUCrNho_vFv&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Resort in Mymensingh · 1 bedroom · 1 private bath,,,,https://www.airbnb.com/users/show/45832328,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=24.756289,90.394372&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Courtyard view', 'Garden view', 'Lake view', 'Resort view', 'Sea view', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Drying rack for clothing', 'Mosquito net', 'Clothing storage', 'Sound system', 'Arcade games', 'Theme room', 'Life size games', 'Children’s books and toys', 'Window guards', ""Children's playroom"", 'Outdoor playground', 'AC - split type ductless system', 'Ceiling fan', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Hot water kettle', 'Dining table', 'Waterfront', 'Lake access', 'Private entrance', 'Resort access', 'Patio or balcony', 'Shared backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'Outdoor kitchen with sink', 'Bikes', 'Sun loungers', 'Free parking on premises', 'Free street parking', 'Shared pool', 'Luggage dropoff allowed', 'Breakfast', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']",https://www.airbnb.com/rooms/955623987767088895
https://www.airbnb.com/rooms/939792560459807640?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718486019_P3lj7DBHEH7yi-7u&previous_page_section_name=1000&federated_search_id=119410bb-bf45-4f8d-8ad1-aba70806998d,Fulbaria,Resort in Mymensingh · 1 bedroom · 1 private bath,,,,https://www.airbnb.com/users/show/45832328,Response rate: 100%,,,,,,,,"https://maps.google.com/maps?ll=24.7574,90.3939&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Courtyard view', 'Garden view', 'Lake view', 'Resort view', 'Sea view', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Drying rack for clothing', 'Mosquito net', 'Clothing storage', 'Sound system', 'Life size games', 'Children’s books and toys', ""Children's playroom"", 'Outdoor playground', 'Window AC unit', 'Ceiling fan', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Hot water kettle', 'Dining table', 'Waterfront', 'Lake access', 'Private entrance', 'Resort access', 'Patio or balcony', 'Shared backyard – Fully fenced', 'Outdoor dining area', 'Bikes', 'Free parking on premises', 'Free street parking', 'Shared outdoor pool - available all year, open 24 hours', 'Luggage dropoff allowed', 'Breakfast', 'Long term stays allowed', 'Cleaning available during stay', 'Host greets you', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']",https://www.airbnb.com/rooms/939792560459807640
