listing_link,searched_location,title_bed_bats_review,price_per_night,review_count,review_count_link,host_link,host_response_rate,listing_description,cleanliness_ratings,accuracy_ratings,check-in_ratings,communication_ratings,location_ratings,value_ratings,google_map_location_link,facilities
https://www.airbnb.com/rooms/886825989925540812?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221010_P3uzYm5SqhLv-fxS&previous_page_section_name=1000&federated_search_id=15093de5-8a7d-4f63-8f72-e5bfb24a2af0,Chattogram,Rental unit in Chittagong · 3 bedrooms · 4 beds · 5 baths,$70 ,1 review,https://www.airbnb.com/rooms/886825989925540812/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221010_P3uzYm5SqhLv-fxS&previous_page_section_name=1000&federated_search_id=15093de5-8a7d-4f63-8f72-e5bfb24a2af0,https://www.airbnb.com/users/show/513745807,Response rate: 50%,"Very stylish,luxury,cool,relaxing,whole Chittagong view, central,secured,peaceful,comfortable Environment place with 3 bed 5 bath 4 balcony,double Sofa, bed cum sofa, dining table,fridge, Wi-Fi, shue rack, 2tea table,iron with table, Samsung oven with stand,smart TV, rooms furniture,water filter & stand, fan light AC geyser,all kitchen tools,24 Hours Water, CCTV, Security Guard, Parking, Generator, Entrance Green Garden, Dual Lift, Community,Reception, Manager,Electrician,Cleaner,Roof,Mosque,etc",,,,,,,,"['Washer', 'Dryer', 'TV', 'Air conditioning', 'Noise decibel monitors on property', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Refrigerator', 'Dishes and silverware', 'Backyard', 'Free parking on premises', 'Paid parking on premises', 'Smoking allowed', 'Unavailable: Essentials\nEssentials', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/741275292377686815?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P34Bz_lX1nC0inCV&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Rental unit in Chittagong · 3 bedrooms · 4 beds · 4 baths,$84 ,1 review,https://www.airbnb.com/rooms/741275292377686815/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P34Bz_lX1nC0inCV&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,https://www.airbnb.com/users/show/483375765,Response rate: 50%,"Bring the whole family over to this exquisite & spacious 3 bedroom apartment. This includes 3 bathrooms, a fully equipped kitchen with an additional toilet & store room as well. The drawing room, dining room & living room are all very spacious and are a great opportunity for inviting guests over and to have a great family time. There are a great number of highly rated restaurants in the area including a steakhouse and a café, as well as malls & grocery store. All being within walking distance..",,,,,,,"https://maps.google.com/maps?ll=22.36298,91.82796&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Mountain view', 'Free washer – In unit', 'Free dryer – In unit', '42 inch TV with standard cable', 'Exercise equipment', 'Children’s books and toys', 'Children’s dinnerware', 'AC - split type ductless system', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Fire extinguisher', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Dishes and silverware', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Private hot tub', 'Unavailable: Wifi\nWifi', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/46789946?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-21&source_impression_id=p3_1718221012_P3Ru5ryn0XNSs5_c&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Rental unit in Chittagong · ★4.33 · 3 bedrooms · 3 beds · 4.5 baths,$20 ,3 reviews,https://www.airbnb.com/rooms/46789946/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-21&source_impression_id=p3_1718221012_P3Ru5ryn0XNSs5_c&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,https://www.airbnb.com/users/show/193917847,Response rate: 100%,,3.3,4.3,3.7,4.3,4.7,4.7,"https://maps.google.com/maps?ll=22.3669,91.8291&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Bidet', 'Hot water', 'Essentials', 'Ethernet connection', 'TV', 'AC - split type ductless system', 'Ceiling fan', 'Kitchen', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dining table', 'Free parking on premises', 'Elevator', 'Pets allowed', 'Smoking allowed', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/33146710?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-23&source_impression_id=p3_1718221012_P3F7Jp8rB150AQkI&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Rental unit in Chittagong · 3 bedrooms · 1 bath,$14 ,,,https://www.airbnb.com/users/show/249410653,Responds within a few days or more,The space,,,,,,,"https://maps.google.com/maps?ll=22.37806,91.85498&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Hair dryer', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'TV with standard cable', 'Indoor fireplace', 'Carbon monoxide alarm', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Stove', 'Private entrance', 'Free parking on premises', 'Free street parking', 'Elevator', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/948148933560648885?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P3xzzeb9LoMesmlN&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Tiny home in Chittagong · 1 bedroom · 1 bed · 1 bath,$8 ,,,https://www.airbnb.com/users/show/196272404,Response rate: 100%,"Welcome to our cozy and unique furnished living room nestled under the enchanting stairwell! This charming space is waiting to welcome you with open arms and promises a truly unforgettable stay.

Close to attractions and equipped with modern amenities, it's a truly unique Airbnb experience. Book now!",,,,,,,"https://maps.google.com/maps?ll=22.3563,91.8107&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Outdoor shower', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Smoking allowed', 'Unavailable: Kitchen\nKitchen', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/36290021?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P382M230N1Xat2Hg&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Chattogram,Rental unit in Chittagong · ★4.50 · 3 bedrooms · 4 beds · 3 baths,$90 ,22 reviews,https://www.airbnb.com/rooms/36290021/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P382M230N1Xat2Hg&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,https://www.airbnb.com/users/show/272935872,Response rate: 80%,,4.3,4.5,4.7,4.6,4.5,4.3,"https://maps.google.com/maps?ll=22.34829,91.81825&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Cleaning products', 'Hot water', 'Essentials', 'Hangers', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Dishes and silverware', 'Stove', 'Private patio or balcony', 'Free parking on premises', 'Elevator', 'Gym', 'Self check-in', 'Building staff', 'Unavailable: TV\nTV', 'Unavailable: Washer\nWasher', 'Unavailable: Dryer\nDryer']"
https://www.airbnb.com/rooms/838409736594617593?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223037_P3Ss4Ao__AH501-Z&previous_page_section_name=1000&federated_search_id=d5b15476-0204-48f5-80b0-938fc87dfbab,Motijheel,Serviced apartment in Dhaka · 1 bedroom · 1 private bath,$39 ,,,https://www.airbnb.com/users/show/496174830,Responds within a few days or more,"Luxurious 2 bedroom apartment in Dhaka. Fully Furnished,equipped kitchen,luxurious attached washroom,Ac,specious living area and beautiful open balcony.",,,,,,,"https://maps.google.com/maps?ll=23.74342,90.4266&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Paid parking on premises', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/806735946921169420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223040_P3qhBAvEgrWfjOyN&previous_page_section_name=1000&federated_search_id=7b4074e5-c71a-4496-9eac-c7193e1aa087,Motijheel,Rental unit in Dhaka · 2 bedrooms · 2 beds · 2 baths,$39 ,,,https://www.airbnb.com/users/show/369755401,Response rate: 100%,Your family will be close to everything when you stay at this centrally-located place.,,,,,,,"https://maps.google.com/maps?ll=23.7463,90.42755&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['Washer', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Wifi', 'Kitchen', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating', 'Unavailable: Hot water\nHot water']"
https://www.airbnb.com/rooms/1060738834382946548?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223042_P3d--vHBtQ0AKP0q&previous_page_section_name=1000&federated_search_id=57b69c24-4e2a-4e7d-8287-aa48302b4143,Motijheel,Rental unit in Dhaka · 3 bedrooms · 3 beds · 3 baths,$68 ,,,https://www.airbnb.com/users/show/554181237,,Your family will be close to everything when you stay at this centrally-located place.,,,,,,,"https://maps.google.com/maps?ll=23.7522,90.4143&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['City skyline view', 'Hair dryer', 'Hot water', 'Washer', 'Hangers', 'Bed linens', 'Iron', 'Mosquito net', 'Clothing storage: closet, wardrobe, and dresser', 'TV', 'Air conditioning', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Free parking on premises', 'Paid parking on premises', 'Pets allowed', 'Smoking allowed', 'Self check-in', 'Lockbox', 'Unavailable: Exterior security cameras on property\nExterior security cameras on property', 'Unavailable: Dryer\nDryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Unavailable: Heating\nHeating']"
https://www.airbnb.com/rooms/42611763?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223055_P3OTRMl7n8meBJGc&previous_page_section_name=1000&federated_search_id=73cee819-1952-4b8c-8b6b-91683b59c668,Bashundhara Residential Area,Serviced apartment in Dhaka · ★4.11 · 1 bedroom · 2 beds · 1 bath,$50 ,36 reviews,https://www.airbnb.com/rooms/42611763/reviews?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223055_P3OTRMl7n8meBJGc&previous_page_section_name=1000&federated_search_id=73cee819-1952-4b8c-8b6b-91683b59c668,https://www.airbnb.com/users/show/120995237,Response rate: 100%,,4.1,4.0,4.6,4.4,4.4,4.1,"https://maps.google.com/maps?ll=23.8206,90.4274&z=14&t=m&hl=en&gl=BD&mapclient=apiv3","['City skyline view', 'Courtyard view', 'Garden view', 'Park view', 'Pool view', 'Hair dryer', 'Cleaning products', 'Sunsilk shampoo', 'Savlon body soap', 'Outdoor shower', 'Hot water', 'Paid washer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Safe', 'Mosquito net', 'Clothing storage: walk-in closet, closet, wardrobe, and dresser', '43 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, Roku, standard cable', 'Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat, workout bench, rowing', 'Books and reading material', 'Movie theater', 'Paid crib - available upon request', 'Paid pack ’n play/travel crib - available upon request', 'Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old', 'Paid standalone high chair - available upon request', 'Children’s dinnerware', 'Changing table - available upon request', 'Window guards', 'Outlet covers', ""Children's playroom"", 'Outdoor playground', 'AC - split type ductless system', 'Ceiling fan', 'Heating - split type ductless system', 'Exterior security cameras on property', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Sharp refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Other stainless steel induction stove', 'Sharp stainless steel single oven', 'Hot water kettle', 'Coffee maker: drip coffee maker, espresso machine, Nespresso', 'Wine glasses', 'Toaster', 'Blender', 'Dining table', 'Coffee', 'Waterfront', 'Private entrance', 'Laundromat nearby', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'Outdoor kitchen with oven, sink', 'Private BBQ grill: charcoal, electric, gas, wood-burning', 'Sun loungers', 'Free parking on premises', 'Free street parking', 'Private outdoor pool - available all year, open specific hours, heated, infinity, lap pool, rooftop, water slide', 'Private sauna', 'Elevator', 'Private gym in building', 'Paid parking garage on premises – 20 spaces', 'Pets allowed', 'Luggage dropoff allowed', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Building staff', 'Cleaning available during stay', 'Unavailable: Dryer\nDryer', 'Unavailable: Smoke alarm\nSmoke alarm', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm']"
