latitude,longitude,resolved_locality
23.8206,90.4274,Kuril
23.817352,90.431394,Bashundhara Residential Area
21.8158,90.1254,
22.6552,89.778,
22.77792,89.70845,
21.8156,90.1385,
22.70203,90.3752,
22.7364,90.8685,
22.69662,90.36086,
22.6958,90.3614,
21.8151,90.122,
21.8165,90.1329,
22.67112,89.74728,
21.8154,90.1379,
21.8159,90.1253,
21.8159,90.1254,
21.8167,90.1238,
21.8156,90.138,
21.8168,90.1238,
21.8187,90.121,
21.82626,90.10754,
21.8169,90.1236,
21.8155,90.1382,
21.8155,90.138,
21.8154,90.1376,
21.8156,90.1381,
21.8156,90.1377,
21.8155,90.1378,
21.8159,90.1252,
21.8156,90.1379,
21.8153,90.1379,
21.8158,90.1253,
21.8185,90.1211,
21.8157,90.1253,
21.8166,90.1239,
21.8167,90.1239,
22.5793,89.9763,
22.74146,90.10266,
22.535523,89.868471,
22.15782,90.11258,
22.7442,90.09845,Sarengkathi Union
23.814352,90.433873,Bashundhara Residential Area
23.818177,90.431566,Bashundhara Residential Area
23.8201,90.4404,Bashundhara Residential Area
23.8204,90.4273,Kuril
23.8171,90.4331,Bashundhara Residential Area
23.61518,89.84575,
23.62313,89.81609,
23.57574,89.79318,
24.0602,90.0231,
24.00778,89.22223,
24.363082,88.605115,Talaimari
24.37018,88.623208,Talaimari
24.37731,88.59719,Kadirgonj
24.363739,88.602796,SagorPara
24.3664,88.6672,
24.362454,88.631671,Talaimari
24.370332,88.606942,Beldarpara
24.3627,88.6023,SagorPara
24.3679,88.5893,Kadirgonj
24.39167,88.53162,
24.36723,88.60004,Sultanabad
24.374128,88.851247,
24.37035,88.59038,Kadirgonj
24.37512,88.60713,Kadirgonj
24.36666,88.6006,Sultanabad
24.36498,88.59942,Sultanabad
24.37507,88.60862,Kadirgonj
24.36495,88.59965,Sultanabad
24.3762,88.6434,Talaimari
24.40784,88.61257,
24.3657,88.6673,
24.36609,88.59946,Sultanabad
24.3739,88.60872,Beldarpara
24.37304,88.60638,Sultanabad
24.37404,88.6085,Kadirgonj
24.37341,88.60865,Beldarpara
23.825791,90.433975,Bashundhara Residential Area
23.8206,90.4273,Kuril
23.8225,90.4378,Bashundhara Residential Area
23.8206,90.4272,Kuril
24.36601,88.5997,Sultanabad
24.37467,88.60665,Kadirgonj
24.37452,88.60634,Kadirgonj
24.36668,88.60066,Sultanabad
24.36505,88.60101,SagorPara
24.36499,88.59952,Sultanabad
24.37297,88.60794,Beldarpara
24.36539,88.59998,Talaimari
24.36733,88.5996,Sultanabad
24.36636,88.59983,Sultanabad
24.36509,88.60102,SagorPara
24.37308,88.60784,Beldarpara
24.37528,88.60789,Kadirgonj
24.37477,88.60841,Kadirgonj
24.37488,88.6072,Kadirgonj
24.37361,88.6066,Sultanabad
24.37333,88.6083,Beldarpara
24.365,88.60115,SagorPara
24.3745,88.60792,Kadirgonj
24.36622,88.59952,Sultanabad
24.36514,88.60089,SagorPara
24.37524,88.60858,Kadirgonj
24.3667,88.59952,Sultanabad
24.36683,88.59983,Sultanabad
24.36679,88.59974,Sultanabad
24.36736,88.60064,Sultanabad
22.362227,91.807099,Khulshi
22.6531,92.1968,
22.3627,91.8518,
22.65745,92.16805,
22.6353,92.1818,
22.36207,91.833212,
22.366056,91.799232,Khulshi
22.361818,91.809323,Khulshi
22.36149,91.82036,Amirbag Abashik Alaka
