listing_link,latitude,longitude
https://www.airbnb.com/rooms/815679063364397989?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-03&check_out=2024-07-08&source_impression_id=p3_1718221303_P3gUxAPF9BWQCP72&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,24.000676,90.001074
https://www.airbnb.com/rooms/869583546471682167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3PRVEt3CJTNv-3E&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,23.99899,89.9993
https://www.airbnb.com/rooms/49901500?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-20&source_impression_id=p3_1718221303_P3JigWYvTVVd2j5u&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,23.96175,89.60923
https://www.airbnb.com/rooms/885485715094453589?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3mKKeotl3QouGmX&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,24.00112,89.99918
https://www.airbnb.com/rooms/824996464282856907?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3qHcU-zQT07nfi7&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,24.00078,90.00096
https://www.airbnb.com/rooms/884034573530530760?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1655359676&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3itZI3ijA-BKD6y&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,24.00036,90.00036
https://www.airbnb.com/rooms/883460614995293807?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3FjACF4VK656-ww&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,23.99937,89.99928
https://www.airbnb.com/rooms/886811918120124395?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3TzO_MGYIJTGU3T&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,23.99808,90.00332
https://www.airbnb.com/rooms/25166381?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=501596492&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3V-gVErOy_sHssV&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,24.00778,89.22223
https://www.airbnb.com/rooms/884360243079822357?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221304_P3HKPy-oB9SHiz2N&previous_page_section_name=1000&federated_search_id=037bdd57-74a0-4153-b02c-103477f60657,23.99945,89.99953
