listing_link,base_urls,listing_title,principalSubdivision,localityName_unresolved,latitude,longitude,map_link
https://www.airbnb.com/rooms/636562610229698749?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3LvhvYtcC9Sxwcc&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,https://www.airbnb.com/rooms/636562610229698749,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8158,90.1254,"https://www.google.com/maps?q=21.8158,90.1254"
https://www.airbnb.com/rooms/1038694988487697554?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1793976396&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3XRf0PRIfRdulu0&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,https://www.airbnb.com/rooms/1038694988487697554,Home In Bagerhat ,Khulna Division,Bagerhat,22.6552,89.778,"https://www.google.com/maps?q=22.6552,89.778"
https://www.airbnb.com/rooms/51229698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3lQun5SJhSWJOX9&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,https://www.airbnb.com/rooms/51229698,Villa In Fakirhat ,Khulna Division,Fakirhat,22.77792,89.70845,"https://www.google.com/maps?q=22.77792,89.70845"
https://www.airbnb.com/rooms/646727141805020398?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221289_P3kak5Kov7NpzXoD&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/646727141805020398,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8156,90.1385,"https://www.google.com/maps?q=21.8156,90.1385"
https://www.airbnb.com/rooms/817980115272663006?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3Z3C_V_CYhNXB0X&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/817980115272663006,Rental Unit In Barisal ,Barisal Division,Barishal,22.70203,90.3752,"https://www.google.com/maps?q=22.70203,90.3752"
https://www.airbnb.com/rooms/790532793741346287?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1553133611&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P30GK9i31fUwftbE&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/790532793741346287,Rental Unit In Lakshmipur District ,Chittagong,Kamalnagar Upazila,22.7364,90.8685,"https://www.google.com/maps?q=22.7364,90.8685"
https://www.airbnb.com/rooms/773906013370230186?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1539154376&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P34r5SYweGr2wIJv&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/773906013370230186,Rental Unit In Barisal ,Barisal Division,Barishal,22.69662,90.36086,"https://www.google.com/maps?q=22.69662,90.36086"
https://www.airbnb.com/rooms/733772959582894108?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1505552656&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-20&source_impression_id=p3_1718221290_P3CUE-luaDDnQWzt&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/733772959582894108,Rental Unit In Barisal ,Barisal Division,Barishal,22.6958,90.3614,"https://www.google.com/maps?q=22.6958,90.3614"
https://www.airbnb.com/rooms/663004287409337202?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P3B8lY3EQ6iulg82&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/663004287409337202,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8151,90.122,"https://www.google.com/maps?q=21.8151,90.122"
https://www.airbnb.com/rooms/636567375873401024?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221290_P370-zTnIkotTZzf&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,https://www.airbnb.com/rooms/636567375873401024,Boutique Hotel In Kuakata ,Barisal Division,Kalapara,21.8165,90.1329,"https://www.google.com/maps?q=21.8165,90.1329"
