location,listing_link,base_urls
Bagerhat,https://www.airbnb.com/rooms/1038694988487697554?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1793976396&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718220955_P3cA4-hVyRrLXMnP&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/1038694988487697554
Bagerhat,https://www.airbnb.com/rooms/966278176786631570?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718220956_P3o1CqxQWBKviOO6&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/966278176786631570
Bagerhat,https://www.airbnb.com/rooms/1025750384639579139?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1781342904&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718220956_P31N-camwFE1vY4P&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/1025750384639579139
Bagerhat,https://www.airbnb.com/rooms/52017590?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718220956_P3CJy45kktUfFKFD&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/52017590
Bagerhat,https://www.airbnb.com/rooms/50623777?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-29&check_out=2024-08-03&source_impression_id=p3_1718220956_P3ZHe3JvB2GFQ81z&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/50623777
Bagerhat,https://www.airbnb.com/rooms/854104320006970758?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1613173130&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718220956_P3j9oa5IUT80N95s&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/854104320006970758
Bagerhat,https://www.airbnb.com/rooms/1146397438865185809?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718220956_P39ro2tVjtCwiAxJ&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/1146397438865185809
Bagerhat,https://www.airbnb.com/rooms/51229698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718220956_P3YhDFxQaJHT_h2f&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/51229698
Bagerhat,https://www.airbnb.com/rooms/41930229?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718220956_P3geBmcX4XWAaBaw&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/41930229
Bagerhat,https://www.airbnb.com/rooms/1147056975205410511?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718220956_P3n366y0tB2w8rt-&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/1147056975205410511
Bagerhat,https://www.airbnb.com/rooms/53820782?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-07-01&check_out=2024-07-06&source_impression_id=p3_1718220956_P3qNVpNW_9g1tvlG&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/53820782
Bagerhat,https://www.airbnb.com/rooms/844662261588714997?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718220956_P3L5GR-PZzwJFx0H&previous_page_section_name=1000&federated_search_id=620edcfc-c146-4c96-a6c0-0925fc509ba1,https://www.airbnb.com/rooms/844662261588714997
