listing_link,Title,Ratings,Main_Bedroom,Main_Beds,Main_Baths
https://www.airbnb.com/rooms/886825989925540812?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221010_P3uzYm5SqhLv-fxS&previous_page_section_name=1000&federated_search_id=15093de5-8a7d-4f63-8f72-e5bfb24a2af0,Rental Unit In Chittagong ,, 3  , 4  , 5 
https://www.airbnb.com/rooms/741275292377686815?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P34Bz_lX1nC0inCV&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Rental Unit In Chittagong ,, 3  , 4  , 4 
https://www.airbnb.com/rooms/46789946?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-15&check_out=2024-06-21&source_impression_id=p3_1718221012_P3Ru5ryn0XNSs5_c&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Rental Unit In Chittagong , 4.33 , 3  , 3  , 4.5 
https://www.airbnb.com/rooms/33146710?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-23&source_impression_id=p3_1718221012_P3F7Jp8rB150AQkI&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Rental Unit In Chittagong ,, 3  ,, 1 
https://www.airbnb.com/rooms/948148933560648885?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P3xzzeb9LoMesmlN&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Tiny Home In Chittagong ,, 1  , 1  , 1 
https://www.airbnb.com/rooms/36290021?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221012_P382M230N1Xat2Hg&previous_page_section_name=1000&federated_search_id=a5fc4b6f-9e09-4174-be86-9e7b153c49bb,Rental Unit In Chittagong , 4.50 , 3  , 4  , 3 
https://www.airbnb.com/rooms/838409736594617593?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223037_P3Ss4Ao__AH501-Z&previous_page_section_name=1000&federated_search_id=d5b15476-0204-48f5-80b0-938fc87dfbab,Serviced Apartment In Dhaka ,, 1  ,, 1  
https://www.airbnb.com/rooms/806735946921169420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223040_P3qhBAvEgrWfjOyN&previous_page_section_name=1000&federated_search_id=7b4074e5-c71a-4496-9eac-c7193e1aa087,Rental Unit In Dhaka ,, 2  , 2  , 2 
https://www.airbnb.com/rooms/1060738834382946548?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718223042_P3d--vHBtQ0AKP0q&previous_page_section_name=1000&federated_search_id=57b69c24-4e2a-4e7d-8287-aa48302b4143,Rental Unit In Dhaka ,, 3  , 3  , 3 
https://www.airbnb.com/rooms/42611763?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223055_P3OTRMl7n8meBJGc&previous_page_section_name=1000&federated_search_id=73cee819-1952-4b8c-8b6b-91683b59c668,Serviced Apartment In Dhaka , 4.11 , 1  , 2  , 1 
https://www.airbnb.com/rooms/939911358194874327?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223058_P3qjZu4oiI3v8Mh-&previous_page_section_name=1000&federated_search_id=2dc055f5-4a39-4a0a-ad14-19a22df15daa,Rental Unit In Dhaka , 3.75 , 4  ,, 4 
https://www.airbnb.com/rooms/636562610229698749?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3LvhvYtcC9Sxwcc&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,Boutique Hotel In Kuakata ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/1038694988487697554?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1793976396&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3XRf0PRIfRdulu0&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,Home In Bagerhat , New , 2  , 2  , 3 
https://www.airbnb.com/rooms/51229698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221288_P3lQun5SJhSWJOX9&previous_page_section_name=1000&federated_search_id=9e6d271e-bdc4-4057-98cd-7da972aa2369,Villa In Fakirhat ,, 1  , 1  , 1  
https://www.airbnb.com/rooms/646727141805020398?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221289_P3kak5Kov7NpzXoD&previous_page_section_name=1000&federated_search_id=b602c5ad-ac6a-4064-97d9-38884de6f1cd,Boutique Hotel In Kuakata ,, 1  , 1  , 1  
